brake,driver_number,drs,meeting_key,n_gear,rpm,session_key,speed,throttle,millis
100,1,1,1258,5,9471,10022,191,0,1745168686467
0,1,1,1258,5,9358,10022,183,32,1745168686867
0,1,1,1258,5,9392,10022,181,58,1745168687107
0,1,1,1258,5,9523,10022,181,71,1745168687267
0,1,1,1258,5,9898,10022,185,93,1745168687507
0,1,1,1258,5,10080,10022,193,100,1745168687827
0,1,1,1258,5,10484,10022,203,84,1745168688147
0,1,1,1258,5,10781,10022,203,85,1745168688387
0,1,1,1258,5,11038,10022,212,100,1745168688787
0,1,1,1258,5,11199,10022,215,100,1745168688947
0,1,1,1258,5,11439,10022,219,100,1745168689147
0,1,1,1258,5,11593,10022,223,100,1745168689347
0,1,1,1258,5,11593,10022,225,100,1745168689587
0,1,1,1258,5,11662,10022,226,100,1745168689827
0,1,1,1258,5,10817,10022,236,100,1745168690067
0,1,1,1258,6,10958,10022,243,100,1745168690427
0,1,1,1258,6,11248,10022,248,100,1745168690787
0,1,1,1258,6,11426,10022,256,100,1745168691227
0,1,1,1258,6,11624,10022,259,100,1745168691468
0,1,1,1258,7,10541,10022,265,100,1745168691908
0,1,1,1258,7,10760,10022,267,100,1745168692148
0,1,1,1258,7,10838,10022,272,100,1745168692468
0,1,1,1258,7,11049,10022,278,100,1745168692907
0,1,1,1258,7,11161,10022,280,100,1745168693187
0,1,1,1258,7,11289,10022,283,100,1745168693547
0,1,1,1258,7,11321,10022,286,100,1745168693707
0,1,1,1258,7,11408,10022,287,100,1745168693947
0,1,1,1258,7,11387,10022,289,100,1745168694187
0,1,1,1258,7,11448,10022,291,100,1745168694427
0,1,1,1258,7,11563,10022,292,100,1745168694667
0,1,1,1258,7,11338,10022,293,100,1745168694867
0,1,1,1258,7,10534,10022,294,100,1745168695027
0,1,1,1258,8,10435,10022,295,100,1745168695267
0,1,1,1258,8,10554,10022,296,100,1745168695467
0,1,1,1258,8,10558,10022,297,100,1745168695667
0,1,1,1258,8,10681,10022,299,100,1745168695947
0,1,1,1258,8,10701,10022,299,100,1745168696147
0,1,1,1258,8,10717,10022,300,100,1745168696347
